relation_type	raw_description	formatted_relation_type	description	prompt_template	resource	abbr	source_type	target_type	annotation
biolink::related_to::Anatomy:Phenotype	A phenotype appears in or affects a specific anatomical location	BioMedGPS::AssociatedWith::Anatomy:Phenotype	A phenotype manifests in or is linked to a specific anatomical structure	Is the #Phenotype# observed in or linked to a specific #Anatomy#?	biolink	related_to	Anatomy	Phenotype	
biolink::related_to::Anatomy:Protein	A protein is found in or linked to a specific body part	BioMedGPS::AssociatedWith::Anatomy:Gene	A gene is expressed in or linked to a particular anatomical location.	"Is the #Gene# expressed in or linked to the #Anatomy#, suggesting location-specific activity?"	biolink	related_to	Anatomy	Protein	
biolink::subclass_of::Phenotype:BiologicalProcess	A protein is found in or linked to a specific body part	BioMedGPS::ParentChild::Phenotype:BiologicalProcess	A biological process is a broader context or contributor to the manifestation of a phenotype	"Is there a hierarchical relationship between #Phenotype# and #BiologicalProcess#, indicating biological explanation of the symptom?"	biolink	subclass_of	Phenotype	BiologicalProcess	
biolink::disrupts::Disease:MolecularFunction	A disease disrupts a particular molecular function	BioMedGPS::Disrupt::Disease:MolecularFunction	A disease interferes with or disrupts a molecular function	"Does the #Disease# disrupt the #MolecularFunction#, interfering with normal molecular activity?"	biolink	disrupts	Disease	MolecularFunction	
biolink::related_to::Disease:BiologicalProcess	A disease is linked to or involves a biological process	BioMedGPS::AssociatedWith::Disease:BiologicalProcess	A disease affects or results from disruptions in a biological process	"Is the #Disease# associated with the #BiologicalProcess#, suggesting the process plays a role in disease development?"	biolink	related_to	Disease	BiologicalProcess	
biolink::related_to::MolecularFunction:Anatomy	A molecular function is performed in a specific anatomical context.	BioMedGPS::AssociatedWith::Anatomy:MolecularFunction	A molecular function occurs in or is linked to a specific anatomical structure	"Is the #MolecularFunction# associated with the #Anatomy#, indicating spatial or tissue-specific activity?"	biolink	related_to	MolecularFunction	Anatomy	
biolink::subclass_of::Protein:CellularComponent	"A protein is categorized under cell structures — rare case, possibly reflecting complex classification"	BioMedGPS::ParentChild::Protein:CellularComponent	A protein is classified as part of a broader cellular component structure	"Is there a hierarchical relationship between #Protein# and #CellularComponent#, indicating structural classification?"	biolink	subclass_of	Protein	CellularComponent	
biolink::has_mode_of_inheritance::Gene:Phenotype	"The gene-related phenotype follows a specific mode of inheritance, such as dominant or recessive"	BioMedGPS::InheritancePattern::Gene:Phenotype	A phenotype arises in association with the inheritance of a specific gene	"Is the #Phenotype# inherited in association with the #Gene#, suggesting genetic origin of the trait?"	biolink	has_mode_of_inheritance	Gene	Phenotype	
biolink::related_to::Disease:Phenotype	A disease manifests with a particular phenotype	BioMedGPS::Present::Disease:Phenotype	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	biolink	related_to	Disease	Phenotype	
biolink::disease_has_location::Disease:CellularComponent	The disease is localized to or affects a specific part of a cell	BioMedGPS::LocatedIn::Disease:CellularComponent	A disease is localized to or primarily affects a specific cellular structure	Is the #Disease# located in or affecting the #CellularComponent#?	biolink	disease_has_location	Disease	CellularComponent	
biolink::caused_by::Disease:BiologicalProcess	The disease is triggered by a biological process	BioMedGPS::Causer::BiologicalProcess:Disease	A biological process contributes causally to the development of a disease	Does the #BiologicalProcess# contribute to or cause the #Disease#?	biolink	caused_by	Disease	BiologicalProcess	
biolink::actively_involved_in::Protein:BiologicalProcess	The protein directly participates in a biological process	BioMedGPS::Participation::Gene:BiologicalProcess	"A gene is involved in or contributes to a biological process, indicating that the gene's activity plays a role in that process"	"Is the #Gene# involved in the #BiologicalProcess#, contributing to or regulating the process?"	biolink	actively_involved_in	Protein	BiologicalProcess	
biolink::subclass_of::Protein:Compound	A protein is a kind of chemical entity	BioMedGPS::ParentChild::Compound:Compound	"A hierarchical relationship between two compounds, where one is broader or more general and the other more specific"	"Is there a hierarchical relationship between #Compound1# and #Compound2#, where one is broader or more general?"	biolink	subclass_of	Protein	Compound	
biolink::related_to::CellularComponent:Protein	A cellular component contains or interacts with a protein	BioMedGPS::Interaction::Gene:CellularComponent	"An interaction between a gene and a cellular component, affecting the function or structure of that component."	"Is there an interaction between #Gene# and #CellularComponent#, affecting the function or structure of the component?"	biolink	related_to	CellularComponent	Protein	
biolink::causes::Disease:BiologicalProcess	A disease causes a biological process	BioMedGPS::Promotor::Disease:BiologicalProcess	A disease promotes or increases the activity of a biological process	"Does the #Disease# promote the #BiologicalProcess#, enhancing its activity or frequency?"	biolink	causes	Disease	BiologicalProcess	
biolink::subclass_of::Phenotype:Disease	A phenotype is considered a specific manifestation or type of disease	BioMedGPS::Present::Disease:Phenotype	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	biolink	subclass_of	Phenotype	Disease	
biolink::part_of::Protein:CellularComponent	The protein is structurally part of a larger cellular component	BioMedGPS::InCC::Gene:CellularComponent	"A gene associated with a specific cellular component, indicating its localization or activity within that component."	"Is the #Gene# associated with the #CellularComponent#, indicating its localization or activity within that component?"	biolink	part_of	Protein	CellularComponent	
biolink::caused_by::Disease:CellularComponent	The disease arises due to changes in a cellular structure	BioMedGPS::Causer::CellularComponent:Disease	A change or dysfunction in a cellular component causes a disease	Does the #CellularComponent# contribute to the cause or development of the #Disease#?	biolink	caused_by	Disease	CellularComponent	
biolink::subclass_of::CellularComponent:Anatomy	A cellular component is viewed as a part of broader anatomy	BioMedGPS::ParentChild::CellularComponent:Anatomy	A cellular component is a part of or derived from a broader anatomical structure	"Is there a hierarchical relationship between #CellularComponent# and #Anatomy#, suggesting anatomical containment or structure?"	biolink	subclass_of	CellularComponent	Anatomy	
